Harrold Osgrey;357;1487
Denestan;100;2589
Lucion Lannister;241;2646
Arwood Frey;312;2286
Ebrose;140;2973
Rickard Stark;243;2618
Morosh;497;1802
Ryella Frey;234;808
Danny Flint;173;1046
Kraznys mo Nakloz;268;668
Meg;247;1249
Harry Sawyer;397;2128
Albar Royce;272;70
Rickon Stark;329;490
Ossy;240;2726
Shiera Seastar;124;1560
Arryk;298;1563
Elys Westerling;113;1205
Waldon Wynch;423;165
Kedry;350;208
Gawen Glover;301;2955
Martyn Cassel;293;2639
Wolmer;52;2676
Quincy Cox;95;1163
Runceford Redwyne;90;313
Hoke;402;2415
Jennelyn Fowler;458;1474
Erik;384;1176
Elenya Westerling;408;1088
Sherrit;76;837
Alesander Staedmon;67;2179
Chayle;390;105
Garizon;204;1436
Mallador Locke;407;402
Aegor Rivers;477;315
Emmond;203;2395
Guyard Morrigen;133;1873
Ryman Frey;233;213
Androw Frey;492;2108
Grazdan;412;570
Will;36;1610
Willam Stark;35;1627
Alerie Hightower;283;2872
Joffrey Baratheon;99;733
Arron;189;2433
Hodor;177;1352
Denys Redwyne;143;2616
Gulian Swann;121;1591
Rickard Ryswell;232;477
Aemon Blackfyre;127;2484
Eddison Tollett;120;216
Portifer Woodwright;348;2504
Dykk Harlaw;130;1384
Dormund;495;1101
Robb Reyne;63;1342
Jon Penny;51;2276
Shae;208;827
Loras Tyrell;138;985
Cersei Lannister;174;2407
Alysanne Bulwer;123;561
Willow Heddle;434;2853
Shiera Crakehall;424;307
Luceon Frey;2;520
Ulrick Dayne;415;1852
Ormond;462;1473
Ashara Dayne;122;732
Belandra;248;1132
Lem;474;1441
Bellena Hawick;271;130
Sharna;161;1319
Halys Hornwood;171;1706
Parmen Crane;139;1879
Balman Byrch;316;1097
Perriane Frey;47;2002
Manfred Dondarrion;97;2345
Jeffory Mallister;456;722
Lennocks;381;2767
Roose Bolton;236;1160
Bennet;77;2845
Sebaston Farman;46;2739
Wilbert;417;1841
Malwyn Frey;345;809
Alys Frey;442;2745
Jammos Frey;343;2533
Wallace Waynwood;167;2196
Jeyne Waters;264;345
Gormond Drumm;19;2856
Rolland Storm;40;780
Quellon Greyjoy;56;2693
Dickon Tarly;426;1561
Thormor;457;2807
Randyll Tarly;405;413
Rattleshirt;107;2867
Ragwyle;193;2111
Delp;430;97
Chett;305;2579
Alyn Estermont;144;1635
Gulian;493;1813
Assadora Of Ibben;291;2015
Alyn Connington;451;1951
Harlon Greyjoy;16;558
Cley Cerwyn;29;959
Qos;235;378
Varly;446;583
Ferret;79;2215
Donnor Stark;251;329
Maelys Blackfyre;292;2019
Bran Stark;311;2629
Armen;489;957
Quellon Humble;330;1775
Jorah Mormont;282;1896
Donnel Haigh;254;807
Skittrick;142;632
Crawn;364;941
Jorgen;440;1142
Myriah Martell;252;2662
Lord Ashford;371;855
Robert Arryn;360;1457
Aegon II Targaryen;128;1107
Gorold Goodbrother;469;64
Utherydes Wayn;57;964
Harys Swyft;392;255
Victaria Tyrell;126;1285
Rolland Darklyn;24;462
Maerie;201;2508
Martyn Lannister;488;1241
Shella Whent;219;2298
Luke;396;1146
Tommard Heddle;494;103
Timeon;400;1222
Tyrion Lannister;391;2161
Perwyn Frey;83;1358
Willem Wylde;160;1406
Henly;175;1621
Humfrey Waters;419;1229
Leonette Fossoway;413;749
Edmund Waxley;168;2563
Jonos Bracken;352;649
Rolland Uffering;155;817
Shadrich;358;1814
Iggo;273;2878
Arrec;154;1567
Tumberjon;75;2329
Jhogo;353;222
Perra Frey;98;606
Alyn Hunt;206;2736
Orbelo;26;948
Malora Hightower;80;204
Jasper Arryn;1;2420
Rhaegar Targaryen;433;702
Walton Stark;48;2991
Harren;12;1235
Lum;17;1654
Ricasso;303;1990
Simon Toyne;137;1242
Karyl Vance;228;2322
Elwood;454;1417
Brienne Of Tarth;85;539
Philip Foote;30;2516
Merrit;342;2223
Artys Arryn;280;381
Lynesse Hightower;401;1925
Lewys Lydden;157;2934
Jon Wylde;263;511
Ben;368;1564
Robett Glover;108;1408
Kevan Lannister;310;118
Urek;9;564
Jhiqui;309;2065
Moonshadow;44;2834
Stonehand;339;1866
Brynden Rivers;398;2064
Mance Rayder;205;2527
Becca;187;2628
Meizo Mahr;299;2588
Jorah Stark;166;603
Eggon;459;1696
Lothar Frey;209;2582
Dick Crabb;302;1133
Gunthor Hightower;73;59
Daryn Hornwood;42;1169
Mortimer Boggs;465;1198
Danelle Lothston;221;474
Moro;3;2686
H;422;437
Willam Wythers;374;2884
Aurane Waters;91;2603
Lucos Chyttering;267;1782
Mirri Maz Duur;18;2502
Alannys Harlaw;213;2225
Edric Dayne;199;891
Lucan;20;1963
Lyonel Corbray;28;757
Tywin Frey;61;612
Bran the Builder;66;1455
Yohn Farwynd;394;923
Agrivane;255;2792
Jurne;287;2358
Gyles III Gardener;295;805
Munda;376;566
Joseth;119;1748
Gyles Farwynd;23;1882
Haegon Blackfyre;463;1898
Maron Volmark;10;880
Qalen;134;1938
Oberyn Martell;225;2379
Maslyn;363;2913
Artos Stark;284;2149
Anders Yronwood;395;745
Colloquo Votar;260;857
Ygritte;385;2083
Alester Florent;317;1742
Sandor Clegane;65;1672
Jayde;184;2184
Leona Tyrell;183;2130
Cleos Frey;369;2441
Megga Tyrell;365;2541
Lord Walder Frey;60;144
Viserys Plumm;470;401
Jon Heddle;87;1730
Falia Flowers;429;1573
Moreo Tumitis;341;1439
Wayn;286;626
Pono;194;379
Zarabelo;198;2708
Dagon;4;78
Griffin King;256;1412
Mag Mar Tun Doh Weg;416;2499
Gawen Westerling;191;1715
Quent;146;1244
Larence Snow;259;434
Leobald Tallhart;387;1685
Emberlei Frey;362;769
Mellei;370;2713
Sybelle Locke;499;127
Ysilla Royce;323;1397
Tybolt Hetherspoon;170;2144
Owen Norrey;111;2146
Rowena Arryn;151;2078
Rickard Karstark;70;1768
Khal Drogo;450;1072
Gerold Dayne;159;2952
Rosey;31;1983
Moribald Chester;38;999
Harbert;288;355
Alyn Haigh;478;1086
Raymund Frey;106;2135
Frenken;349;1220
Maron Botley;472;240
Aerys II Targaryen;340;1401
Mord;294;2989
Rus;447;978
Sallei Paege;437;528
Damon Marbrand;25;1301
Meliana;192;2271
Mylessa Blackwood;404;2010
Nymeria Sand;22;2719
Jarl;117;1434
Osha;328;1655
Ben Blackthumb;224;2181
Denys Darklyn;304;2260
Raymun Darry;421;2302
Tyta Frey;420;1599
Sybell Spicer;32;1549
Kyle Royce;188;150
Brusco;321;295
Marillion;307;2157
Jenny;250;1296
Fair Walda Frey;411;904
Gage;460;1907
Kym;245;1810
Meryn Trant;89;2056
Kromm;409;2632
Jack Be Lucky;5;2326
Ambrose Butterwell;377;1791
Horton Redfort;218;1832
Betharios Of Braavos;393;1546
Mad Huntsman;322;633
Morton Waynwood;487;2456
Tobbot;33;1690
Sylas Flatnose;486;45
Bethany Redwyne;200;1180
Harwyn Plumm;443;140
Ossifer Plumm;354;357
Normund Tyrell;207;2821
Praed;181;2463
Dunk;190;1704
Karlon Stark;480;2233
Aemon Costayne;39;1692
Orbert Caswell;114;2831
Belwas;78;502
Robyn Rhysling;296;644
Lythene Frey;147;592
Willas Tyrell;220;1878
Bodger;45;765
Della Frey;27;2432
Umfred;468;1159
Gerold Hightower;483;1584
Jon Redfort;135;2174
Symond Templeton;242;43
Willem Frey;498;1923
Porther;62;2112
Barbrey Ryswell;327;969
Alyce Graceford;216;2573
Jaehaerys I Targaryen;158;2284
Jommo;156;2346
Arwyn Frey;153;2555
Cynthea Frey;37;312
Craster;439;2620
Mela;217;2671
Ocley;41;305
Roger Of Pennytree;496;110
Margaery Tyrell;333;1883
Elmar Frey;262;1616
Cadwyn;152;1891
Jon Brax;13;184
Rast;53;536
Pycelle;131;209
Hugh;356;422
Morgil;21;2153
Prendahl na Ghezn;372;2263
Wynafrei Whent;427;13
Addam;210;2445
Dyah;482;915
Selwyn Tarth;373;244
Cutjack;444;2774
Wynafryd Manderly;96;2477
Jeyne Goodbrook;318;1664
Cletus Yronwood;266;835
Zei;300;2154
Beron Stark;265;1905
Erren Florent;410;2536
Aenys I Targaryen;172;2728
Gwin Goodbrother;435;1148
Terrance Lynderly;325;2186
Matt;185;1025
Marianne Vance;461;1707
Perros Blackmont;258;2544
Black Walder Frey;455;1400
Jeyne Farman;320;2167
Alyssa Arryn;165;93
Samwell Spicer;88;2444
Glendon Flowers;383;2072
Daemon Sand;418;1174
Bennard Brune;145;89
Alayaya;104;2206
Yna;150;1847
Samwell Tarly;179;1752
Jeffory Norcross;484;2316
Wyman Webber;500;2279
Ryam;270;1153
Quort;431;1513
Dorna Swyft;388;98
Dale Drumm;319;1028
Warryn Beesbury;375;485
Roelle;182;2674
Garrison Prester;466;779
Josua Willum;237;2070
Jasper Waynwood;308;115
Willifer;336;2166
Dagon Greyjoy;253;1069
Thoren Smallwood;230;1651
Daenerys Targaryen;379;2126
Helya;92;562
Daeron II Targaryen;344;2769
Liane Vance;306;2642
Zollo;436;1784
Lync;389;1149
Bradamar Frey;164;2500
Rickard Wylde;222;2475
Bowen Marsh;479;2873
Gerold Grafton;149;226
Theo Frey;59;1827
Theomar Smallwood;275;69
Conn;223;2545
Roose Ryswell;214;348
Corenna Swann;50;218
Murenmure;81;2977
Lucos;69;2749
Gergen;491;1302
Torrhen Stark;355;1942
Vardis Egen;132;1892
Alys Karstark;452;2242
Dacks;231;405
Emmon Cuy;467;157
Howland Reed;471;1838
Owen Merryweather;279;939
Hallis Mollen;334;826
Alesander Torrent;118;497
Harren Botley;141;2016
Richard Farrow;332;2287
Renly Baratheon;148;2727
Jon Snow;361;1041
Dennis Plumm;432;2442
Garrett Flowers;281;2899
Humfrey Beesbury;93;2507
Tanton Fossoway;475;2419
Brandon Norrey;276;2051
Alvyn Sharp;346;269
Clarence Charlton;68;2824
Alyssa Blackwood;278;372
Bandy;351;1326
Serra Frey;212;2506
Narbert;11;1741
Greydon Goodbrother;7;2697
Gysella Goodbrother;74;32
Alester Oakheart;277;2009
Armen the Acolyte;438;331
Humfrey Swyft;246;1725
Gowen Baratheon;406;2367
Tytos Lannister;414;1323
Marissa Frey;380;2092
Pypar;274;2160
Arianne Of Tarth;55;1029
Ketter;163;1204
Chiggen;449;2558
Gormon;162;1574
Steffon Frey;366;804
Criston Cole;169;186
Morrec;136;2512
Duram Bar Emmon;34;571
Arthur Ambrose;425;1691
Rhllor;101;859
Eustace Brune;14;2829
Bass;197;1761
Benfrey Frey;448;906
Cellador;445;1343
Martyn Rivers;453;1762
Rudge;54;2455
Benedict;102;1304
Torwold Browntooth;116;1201
Tristifer Botley;297;2803
Donnel Locke;485;2886
Maegor I Targaryen;290;2061
Jyanna Frey;186;726
Carellen Smallwood;289;138
Bedwyck;103;527
Lyonel Baratheon;476;1867
Edwyn Osgrey;238;1451
Poxy Tym;125;1276
Canker Jeyne;115;1211
Bellegere Otherys;8;2812
Wyl Waynwood;335;1350
Clement;441;2534
Melesa Crakehall;285;962
Obara Sand;202;2958
Janyce Hunter;337;2418
Symond Botley;226;541
Quentin Tyrell;249;2993
Hugh Beesbury;49;1239
Deremond;382;223
Arnolf Karstark;15;1006
Rafe;269;636
Joss;72;882
Bluetooth;386;646
Puckens;105;2428
Amory Lorch;94;2597
Merrett Frey;315;1955
Horas Redwyne;326;1348
Germund Botley;180;501
Gunthor;367;2593
Albett;178;123
Jeyne Lothston;229;310
Brenett;196;1497
Steffon Swyft;399;467
Will Humble;378;1615
Elyas Willum;84;987
Elys Waynwood;211;281
Jack Bulwer;43;2698
Wyman Manderly;314;642
Medger Cerwyn;338;2995
Uthor Tollett;359;2021
Alebelly;464;2949
Robb Stark;86;1507
Jeyne Heddle;261;461
Rhogoro;227;1628
Zachery Frey;324;1499
Willam Dustin;403;1888
Jhaqo;195;2391
Otto Hightower;244;1953
Tanselle;347;2652
Alysanne Hightower;239;1019
Roslin Frey;71;1287
Redtusk;64;435
Mollos;110;1972
Janna Tyrell;473;195
Quenten Banefort;58;803
Grubbs;6;126
Balon Greyjoy;176;2248
Gulian Qorgyle;331;1731
Cressen;112;166
Cayn;481;2979
Norjen;313;1697
Benedict Broom;257;1908
Reek;109;2712
Bethany Ryswell;428;778
Gwayne Corbray;129;1317
Leana Frey;490;2400
Alyn Cockshaw;82;2964
Alys Arryn;215;2794
Willam;366;340
Jon Connington;255;2600
Robert Flowers;293;1010
Heward;374;2946
Donnel Hill;270;1491
