Tiffany Aching;30;234
Esmeralda Weatherwax;201;3921
Mustrum Ridcully;54;435
Samuel Vimes;11;42
Gytha Ogg;923;4251
Death;10000;1000000
Brutha;20;342
Hodgesaargh;324;1922
Mightily Oats;20;102
Jonathan Teatime;5;5
Magrat Garlick;43;213
Rincewind;1;1
Twoflower;491;3425
Detritus;300;1230
Lady Sybil Ramkin;10;42
Nobby Nobbs;430;431
Librarian;231;5412
The Luggage;1243;14155
Hex;15;243
Agnes Nitt;53;123
Greebo;999;1234
Susan Sto Helit;5;20
Binky;4;34
Rob Anybody;453;9872
Otto Chriek;52;100
Moist von Lipwig;92;98
Igor;153;345
Death of Rats;29;93
